nome,email,comentario,post,postado
Vitor Santana Duarte,vitorduarte@gmail.com,"Quisque dictum turpis id nisl vehicula, vel pulvinar risus placerat.",6,1
Bento Melo,bentomelo@gmail.com,"In in felis auctor, scelerisque magna in, eleifend sapien.",8,0
Eloa de Oliveira de Assis Andrade,eloaandrade@hotmail.com,"Sed lobortis arcu scelerisque, maximus eros at, porta tellus.",4,1
Julia de Andrade,juliaandrade@ig.com.br,"Morbi id felis vestibulum, blandit justo in, sodales nisi.",11,1
Isabelly Batista,isabellybatista@ig.com.br,"Etiam eget tortor posuere, tempor massa ut, facilisis nisi.",19,1
Clara Siqueira Oliveira,claraoliveira@hotmail.com,"Aenean rutrum lectus a risus viverra, et ornare risus vulputate.",5,0
Joao Braga Teixeira,joaoteixeira@hotmail.com,"Phasellus sit amet dui efficitur, finibus leo in, luctus libero.",16,1
Caio da Rocha Lopes Pinheiro,caiopinheiro@gmail.com,"Maecenas a ligula viverra, tempor ipsum at, consequat orci.",2,1
Esther de Araujo Batista,estherbatista@gmail.com,Nunc a nulla vel massa ultrices aliquam.,11,1
Caio de Freitas,caiofreitas@bol.com.br,"Curabitur et ipsum commodo, ornare risus sed, lobortis tortor.",19,1
Isaac Cardoso Viana da Cruz,isaaccruz@ig.com.br,"Cras et nibh luctus, mattis risus ac, eleifend tellus.",10,0
Isabelly Carneiro Cordeiro Fernandes,isabellyfernandes@ig.com.br,"Cras aliquet orci ut ante semper, sed varius arcu iaculis.",10,0
Rafaela Cruz de Oliveira,rafaelaoliveira@ig.com.br,"Duis ut lorem pulvinar, suscipit sapien vel, iaculis sem.",16,1
Enzo Gabriel Garcia Correa Souza,enzosouza@outlook.com,Nam tempor nunc vitae est condimentum consequat ac eu mi.,4,1
Leonardo Pinheiro Conceição,leonardoconceição@gmail.com,"Aliquam hendrerit arcu quis risus molestie, eu cursus odio pellentesque.",18,1
Julia Mendes Pinto de Araujo,juliaaraujo@hotmail.com,Donec sed sapien egestas sem viverra tempus vel nec velit.,2,1
Bryan Braga Correa,bryancorrea@outlook.com,Etiam pulvinar magna non mi euismod consequat.,3,0
Catarina Sántos de Andrade Soares,catarinasoares@outlook.com,Duis vehicula lectus at metus eleifend porttitor.,9,0
Heloísa de Paula Fernandes Cordeiro,heloísacordeiro@gmail.com,"Sed condimentum dolor id justo dictum, quis tristique ante pulvinar.",15,1
Gustavo de Souza Brito Freitas,gustavofreitas@gmail.com,Etiam ornare sapien non neque aliquet aliquam.,14,1
Clara da Costa Rodrigues,clararodrigues@bol.com.br,Vivamus eu dolor a sem dapibus rutrum.,19,0
Matheus de Andrade Almeida Santana,matheussantana@ig.com.br,Etiam finibus ligula et ante finibus bibendum.,11,0
Antonella Oliveira,antonellaoliveira@outlook.com,Donec a nisi eu mi fringilla sagittis in eu orci.,1,0
Isadora Moura,isadoramoura@ig.com.br,Vivamus eu sem et ligula egestas congue eu vel purus.,14,0
Vicente Siqueira da Silva,vicentesilva@ig.com.br,Sed accumsan odio sed sapien laoreet porta.,19,1
Arthur Monteiro de Jesus,arthurjesus@hotmail.com,"Sed vitae ligula ornare, aliquam mauris volutpat, cursus tellus.",4,0
Eloa Almeida,eloaalmeida@outlook.com,"Morbi id felis vestibulum, blandit justo in, sodales nisi.",12,0
Ana Clara Aparecido,anaaparecido@bol.com.br,Morbi varius orci in efficitur tempor.,19,1
Caio Santos da Costa,caiocosta@gmail.com,"Vivamus luctus metus quis ante condimentum, sed interdum lacus luctus.",18,0
Gael Dias Neves Henrique,gaelhenrique@bol.com.br,"Etiam eget tortor posuere, tempor massa ut, facilisis nisi.",18,1
Pedro Henrique Almeida Dantas,pedrodantas@gmail.com,"Aenean rutrum lectus a risus viverra, et ornare risus vulputate.",20,1
Maria Cecília de Sousa Ferreira,mariaferreira@bol.com.br,"Nam eget orci consectetur, ullamcorper est in, molestie urna.",12,0
